"Name","Max","TB2_SN3.report","Lineage"
"Polaribacter atrinae","2","2","cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Polaribacter"
"Polaribacter huanghezhanensis","2","2","cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Polaribacter"
"Lacinutrix sp. Bg11-31","2","2","cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Lacinutrix>unclassified&nbsp;Lacinutrix"
"Nonlabens sp. MB-3u-79","2","2","cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Nonlabens>unclassified&nbsp;Nonlabens"
"Myroides sp. JBRI-B21084","2","2","cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Myroides>unclassified&nbsp;Myroides"
"Staphylococcus aureus","2","2","cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Bacillales>Staphylococcaceae>Staphylococcus"
"Streptococcus equinus","2","2","cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Enterococcus thailandicus","2","2","cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Enterococcaceae>Enterococcus"
"Clostridium beijerinckii","2","2","cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Clostridiaceae>Clostridium"
"Clostridium formicaceticum","2","2","cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Clostridiaceae>Clostridium"
"Natranaerofaba carboxydovora","2","2","cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Natranaerobiales>Natranaerofabaceae>Natranaerofaba"
"Tissierella sp. MB52-C2","2","2","cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Tissierellia>Tissierellales>Tissierellaceae>Tissierella>unclassified&nbsp;Tissierella"
"Prochlorococcus sp. MIT 1307","2","2","cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteriota/Melainabacteria&nbsp;group>Cyanobacteriota>Cyanophyceae>Synechococcales>Prochlorococcaceae>Prochlorococcus>unclassified&nbsp;Prochlorococcus"
"Prochlorococcus marinus","2","2","cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteriota/Melainabacteria&nbsp;group>Cyanobacteriota>Cyanophyceae>Synechococcales>Prochlorococcaceae>Prochlorococcus"
"Fusobacterium pseudoperiodonticum","2","2","cellular&nbsp;organisms>Bacteria>Fusobacteriota>Fusobacteriia>Fusobacteriales>Fusobacteriaceae>Fusobacterium"
"Halobacteriovorax marinus","2","2","cellular&nbsp;organisms>Bacteria>Bdellovibrionota>Bacteriovoracia>Bacteriovoracales>Halobacteriovoraceae>Halobacteriovorax"
"Orientia tsutsugamushi","1","1","cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Rickettsiales>Rickettsiaceae>Rickettsieae>Orientia"
"Wolbachia endosymbiont of Dipetalonema caudispina","1","1","cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Rickettsiales>Anaplasmataceae>Wolbachieae>Wolbachia>unclassified&nbsp;Wolbachia"
"Neoehrlichia mikurensis","1","1","cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Rickettsiales>Anaplasmataceae>Candidatus&nbsp;Neoehrlichia"
"Candidatus Deianiraea vastatrix","1","1","cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Rickettsiales>Candidatus&nbsp;Deianiraeaceae>Candidatus&nbsp;Deianiraea"
"Bartonella sp. TP","1","1","cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Bartonellaceae>Bartonella>unclassified&nbsp;Bartonella"
